"b_id","u_id","name","full_addr","txt","r_date","stars"
"Dq6g0ubf267tWRU4BSk44A","dX9HM6SjZR_sBYUsr9LlKQ","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","Lulu's has two things going for it: it's cheap, and it's close to Carnegie Mellon's campus. Besides that, the service isn't great, they have forgotten my food, and the food isn't that great. I keep going back because up until recently, there wasn't any other choice that close to campus for quick Asian food. 

The items are hit or miss, and lackluster. Good luck. I'm not saying it's horrible, it's just uninspired, boring, and not that flavorful.","2006-02-19",2
"Dq6g0ubf267tWRU4BSk44A","_nObiAyIgsj2lwS8xoBchA","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","Sorry, guy, everyone I know loves this place. Sure there are a few things I didn't like, but most are tasty, fresh and not at all as greasy or too saucy like lots of Chinese takeout. Highlights include the Lard Nar Pork, Hong Kong Chow Fun Beef, almost any noodle bowl, the Teriyaki Chicken Salad. And the gyoza appetizer, so yummy! As a group, me and my coworkers like to hit it once a month. For those who might peruse the menu, Yum Wok is the more mainstream Chinese menu, LuLu's Noodles being a collection of different Asian noodle dishes.

update - When I wrote this there was only maybe one other review. I hear you guys. Yeah, don't get the stuff that's not Chinese. You are NOT going to get good or authentic pad thai, or teriyaki chicken, or udon.  You will usually get tasty, not overly greasy, Americanized Chinese food. Although the gyoza is very, very good.","2006-09-05",5
"Dq6g0ubf267tWRU4BSk44A","zr1Q5sgULX5bjHTUSC2MXg","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","O.K. in a pinch, but I've had much better Asian food. The little red pepper next to my dish was supposed to indicate spicy, but it seemed pretty mild to me. The shrimp and veggies were fresh, but the flavors didn't meld the way they should. Sauce was a little too gelatinous, and there was too much of it. Service was unfriendly and perfunctory. However, the green tea was really good--and really, really green. I'm with Matt L. on this one.","2007-03-11",2
"Dq6g0ubf267tWRU4BSk44A","ualAfRYE5ejeSN4o0e1iAQ","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","Great asian joint for those CMU and UPitt kids... (I was a CMU'er myself).  This place offers popular chinese, korean, and southeast asian dishes - young chow fried rice, double cooked pork, udon noodles, kim chi fried rice, bulgogi, tom yum gai, beef chow fun, rice bowls, thai ice tea...etc.  Service is fast enough that you can eat and go back to computer cluster to finish your assignment... if you dont get food coma that is.","2007-05-07",4
"Dq6g0ubf267tWRU4BSk44A","wNtyBJa_qaRYUew_TWplgw","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","I agree with l s. - I've always enjoyed Lulu's.  It brings back happy memories of high school field trips and the freedom to walk the single block from the Carnegie Museum to grab lunch.

Their Thai iced tea and bubble teas are both good.  The spring rolls come with delicious sauce on the side, and all of the vegetarian entrees are appealing.  The portions are huge and inexpensive, and the location is convenient for students, Med Center employees, and those visiting the museum or the nationality rooms.  Sure it's not high-class cuisine, but for what it is, it's good, filling, and affordable.","2007-07-30",4
"Dq6g0ubf267tWRU4BSk44A","Zgtsv5A0EFLO6Nm25-Aluw","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","This is my favorite restaurant (well, besides Nakama, but who wants to have a favorite restaurant that costs 30 dollars a person?). I've been here more times than any one location of a place. It's a couple blocks away and all of my friends love it; it's just a really good central location. 

My favorite thing about Lulu's is the bubble tea, and even though there are three other places within 1000 feet to get it, the bubbles at Lulu's taste the best by far.

I've got into a rut of always ordering ""K1 with chicken with double sauce without peanuts"", that probably one day the waitress will already know. Though I've had many other things and liked them all.","2007-08-02",5
"Dq6g0ubf267tWRU4BSk44A","IbvOxKSps_K5wa3a2_jc-Q","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","Fresh, it doesn't make me sick, neat little place to visit for college students","2007-09-11",5
"Dq6g0ubf267tWRU4BSk44A","ZbNi4ZrvxnbQLkY2aystkQ","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","The food was good. Even the won ton soap that boasted to be straight from San Francisco, seemed to be very similar to the won ton soup that you get in the authentic SF Chinatown spots. I had the greens with shrimp - basic, simple, satisfying. The melon tea was waaay to sweet for me, and didn't really seem like tea. My big issue with this place is that it is loud as hell. I could hardly hear myself think.","2007-10-08",3
"Dq6g0ubf267tWRU4BSk44A","UzqOYLCssQS2FBcDq5HwkA","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","The food is decent, not great, not authentic by any stretch of the imagination, but fairly priced for portion-size, and generally tasty enough.  I highly recommend the crab rangoon if you like the sweet cream cheesy kind.  Yum!  And I like the pad thai even if it is sweet and not authentic as well as the curry chicken.  (FYI: My order of the curry chicken and crab rangoon came out to $9 after tax)

I don't often eat at the restaurant itself, I am more a order-from-wheeldeliver.com or pick-up person.  Service isn't great, which is probably why I avoid eating in-house.  Bear in mind that parking on the street in the area is generally hard to find unless it is mid-day in the middle of the week.","2007-12-05",3
"Dq6g0ubf267tWRU4BSk44A","qdyZ-Iy4ztJ_DB5znAu0Qw","Lulu's Noodles","400 S Craig St
Oakland
Pittsburgh, PA 15213","I'm lowering my rating.  The service is the absolute worst.  I dont think I will return anytime soon regardless of how good the mango smoothie is.
----------------------------------
The food is average and the service is even worse but I still eat there, though not regularly.  

The reason for the 4 stars is the smoothies.  Try the mango.  You will go back just for that.","2007-12-12",2
